"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RIMS4",0.90172999306955,4.73560897864909,6.02235032406785,8.16381681135598e-07,0.0138521388425091,5.57948164772454
"BHLHE41",1.34096666915876,7.59351767812862,5.73276504286079,1.93831919391239e-06,0.0138521388425091,4.81528665920259
"LOC100507351",1.38922982844807,5.23927260558062,5.69626518609047,2.16183621004938e-06,0.0138521388425091,4.71864963290707
"SLC16A14",0.831437835520127,6.67173671715004,5.56435275727549,3.20761974768919e-06,0.0138521388425091,4.36895703921383
"REG1A",-5.98236400459506,10.298256834768,-5.51287001311694,3.74175585798583e-06,0.0138521388425091,4.23232420934757
"DMBT1",-3.90478718511495,12.4939001188254,-5.50763393906917,3.80083381602664e-06,0.0138521388425091,4.21842394364909
"MACROD2",0.813903924721357,5.8135639890752,5.3911210992758,5.38588744321965e-06,0.0147269062026814,3.90896783057515
"GPR128",-2.50629119934703,8.65093686073209,-5.37760122734599,5.6081534677596e-06,0.0147269062026814,3.87304501509184
"HTATSF1",0.476769813542292,9.65736634028512,5.33096930209296,6.44744594393347e-06,0.0147269062026814,3.74912817361269
"RNF213",-0.975101985776442,12.4226546389196,-5.29385674212578,7.2041084737544e-06,0.0147269062026814,3.65049742592685
"TAP1",-1.13206473335916,10.3830049497304,-5.25818589036463,8.01473580770632e-06,0.0147269062026814,3.55569544708594
"REG3A",-5.74309590152127,9.70417283314713,-5.25540142194171,8.08171557288046e-06,0.0147269062026814,3.54829523828255
"NTRK2",1.76326983779716,6.65574438155241,5.21872952740758,9.01772931032454e-06,0.0151685143714513,3.45083587665568
"TAP2",-1.07621441325765,9.63304751507119,-5.17163238536172,1.03799863343602e-05,0.0162127972266753,3.32568390232009
"FLVCR2",-1.45137362836716,8.78224172746317,-5.11129986762504,1.24285381908376e-05,0.018118322974603,3.16540187156207
"NOL4",0.909326881504559,4.69901587971495,5.01610631045098,1.65086730761511e-05,0.0212549545890003,2.91265924384633
"KIAA2022",1.21409810999789,6.05674545999661,5.00842009699236,1.68911491646279e-05,0.0212549545890003,2.89226286137458
"MYO3A",0.975067127343199,4.77781545099807,4.9871608948269,1.79955351726295e-05,0.0212549545890003,2.83585878297947
"DEFA5",-5.65931898658473,10.1126996374364,-4.96158432343951,1.94196978351835e-05,0.0212549545890003,2.76802093643401
"IFI35",-0.702381620400323,7.89549122671707,-4.95133057015096,2.00216129439903e-05,0.0212549545890003,2.74083132660347
"MOV10",-0.798584257932469,9.18721505118669,-4.92803592243658,2.14588221730792e-05,0.0212549545890003,2.67907712124739
"ETV7",-1.29009893905522,6.51632612446905,-4.89677918416262,2.35494641727982e-05,0.0212549545890003,2.59625185181965
"SLC25A37",-0.715341752580908,7.9127141326611,-4.89244206119361,2.38551044745946e-05,0.0212549545890003,2.58476268482996
"HKDC1",-2.32854727505528,9.11077085061453,-4.88199615034074,2.46074958460811e-05,0.0212549545890003,2.55709482068137
"DCDC2",1.33571910873244,5.00918205219247,4.86936752406659,2.5548616021689e-05,0.0212549545890003,2.52365273477215
"KCTD1",0.601972643662165,6.29740052421354,4.86045903393766,2.62339049609195e-05,0.0212549545890003,2.50006681323119
"XDH",-1.40186412918036,10.6679149916768,-4.86032588402676,2.62442847168339e-05,0.0212549545890003,2.49971431922188
"HSPB3",0.746741474368804,4.06681488370705,4.81708536947049,2.9839987200258e-05,0.0233039642895729,2.3852918144003
"SPAG16",0.740925575409331,7.58011824815134,4.80243817831197,3.11655494716575e-05,0.0234998989757495,2.34655639735177
"AKR1C3",-1.13627227088863,10.6581535693858,-4.77222150529624,3.4087374958676e-05,0.0248462876073789,2.26668731856285
"PPFIA2",0.679744399229523,5.5892887383566,4.7476256937544,3.6664847520288e-05,0.0253327964317901,2.20171815021652
"DEFA6",-5.0872820407013,9.04887350593043,-4.74188973343307,3.72931764940871e-05,0.0253327964317901,2.18657253663003
"CPA6",1.26037076281736,5.6006571295391,4.71507706685728,4.03746720714779e-05,0.0253327964317901,2.11580470884004
"ASS1",-1.27921311500293,11.462677076417,-4.71175707565507,4.07733601062472e-05,0.0253327964317901,2.1070456529858
"FAM19A2",0.618552354881273,5.24134735289699,4.70427985910755,4.16856099576013e-05,0.0253327964317901,2.08732161600549
"CFB",-1.91831398596438,9.75069551063576,-4.69180304115653,4.32530327214699e-05,0.0253327964317901,2.05441838219571
"UBE2L6",-1.13400021563044,8.48348228491676,-4.68792970955382,4.37513913319077e-05,0.0253327964317901,2.04420619875804
"PSMB9",-1.31201122589394,8.38080316312125,-4.68583870819859,4.40227861347247e-05,0.0253327964317901,2.0386936680996
